vertex,one,Q_one,Q2_one,Q3_one
760,1,2,16,136
761,1,2,16,136
762,1,2,16,136
763,1,2,16,136
764,1,2,16,136
765,1,2,12,100
766,1,2,12,100
767,1,14,120,1024
768,1,2,16,136
769,1,2,16,136
770,1,2,16,136
771,1,2,16,136
772,1,2,16,136
773,1,2,16,136
774,1,14,120,1024
775,1,2,16,136
776,1,2,16,136
777,1,2,16,136
778,1,2,16,136
779,1,2,16,136
780,1,2,16,136
781,1,2,12,100
782,1,2,12,100
783,1,14,120,1024
784,1,2,16,136
785,1,2,16,136
786,1,2,16,136
787,1,2,16,136
788,1,2,16,136
789,1,2,16,136
790,1,14,120,1024
791,1,2,16,136
792,1,2,16,136
793,1,2,16,136
794,1,2,16,136
795,1,2,16,136
796,1,2,16,136
797,1,14,120,1024
798,1,2,16,136
799,1,2,16,136
800,1,2,16,136
801,1,2,16,136
802,1,2,16,136
803,1,2,16,136
804,1,2,12,100
805,1,2,12,100
806,1,14,120,1024
807,1,2,16,136
808,1,2,16,136
809,1,2,16,136
810,1,2,16,136
811,1,2,16,136
812,1,2,16,136
813,1,14,120,1024
814,1,2,16,136
815,1,2,16,136
816,1,2,16,136
817,1,2,16,136
818,1,2,16,136
819,1,2,16,136
820,1,2,12,100
821,1,2,12,100
822,1,14,120,1024
823,1,2,16,136
824,1,2,16,136
825,1,2,16,136
826,1,2,16,136
827,1,2,16,136
828,1,2,16,136
829,1,14,120,1024
830,1,2,16,136
831,1,2,16,136
832,1,2,16,136
833,1,2,16,136
834,1,2,16,136
835,1,2,16,136
836,1,2,12,100
837,1,2,12,100
838,1,14,120,1024
839,1,2,16,136
840,1,2,16,136
841,1,2,16,136
842,1,2,16,136
843,1,2,16,136
844,1,2,16,136
845,1,14,120,1024
846,1,2,16,136
847,1,2,16,136
848,1,2,16,136
849,1,2,16,136
850,1,2,16,136
851,1,2,16,136
852,1,2,12,100
853,1,2,12,100
854,1,14,120,1024
855,1,2,16,136
856,1,2,16,136
857,1,2,16,136
858,1,2,16,136
859,1,2,16,136
860,1,2,16,136
861,1,14,120,1024
862,1,2,16,136
863,1,2,16,136
864,1,2,16,136
865,1,2,16,136
866,1,2,16,136
867,1,2,16,136
868,1,2,12,100
869,1,2,12,100
870,1,14,120,1024
871,1,2,16,136
872,1,2,16,136
873,1,2,16,136
874,1,2,16,136
875,1,2,16,136
876,1,2,16,136
877,1,14,120,1024
878,1,2,16,136
879,1,2,16,136
880,1,2,16,136
881,1,2,16,136
882,1,2,16,136
883,1,2,16,136
884,1,2,12,100
885,1,2,12,100
886,1,14,120,1024
887,1,2,16,136
888,1,2,16,136
889,1,2,16,136
890,1,2,16,136
891,1,2,16,136
892,1,2,16,136
893,1,14,120,1024
894,1,2,16,136
895,1,2,16,136
896,1,2,16,136
897,1,2,16,136
898,1,2,16,136
899,1,2,16,136
900,1,14,120,1024
901,1,2,16,136
902,1,2,16,136
903,1,2,16,136
904,1,2,16,136
905,1,2,16,136
906,1,2,16,136
907,1,2,12,100
908,1,2,12,100
909,1,14,120,1024
910,1,2,16,136
911,1,2,16,136
912,1,2,16,136
913,1,2,16,136
914,1,2,16,136
915,1,2,16,136
916,1,14,120,1024
917,1,2,16,136
918,1,2,16,136
919,1,2,16,136
920,1,2,16,136
921,1,2,16,136
922,1,2,16,136
923,1,2,12,100
924,1,2,12,100
925,1,14,120,1024
926,1,2,16,136
927,1,2,16,136
928,1,2,16,136
929,1,2,16,136
930,1,2,16,136
931,1,2,16,136
932,1,14,120,1024
933,1,2,16,136
934,1,2,16,136
935,1,2,16,136
936,1,2,16,136
937,1,2,16,136
938,1,2,16,136
939,1,2,12,100
940,1,2,12,100
941,1,14,120,1024
942,1,2,16,136
943,1,2,16,136
944,1,2,16,136
945,1,2,16,136
946,1,2,16,136
947,1,2,16,136
948,1,14,120,1024
949,1,2,16,136
950,1,2,16,136
951,1,2,16,136
952,1,2,16,136
953,1,2,16,136
954,1,2,16,136
955,1,2,12,100
956,1,2,12,100
957,1,14,120,1024
958,1,2,16,136
959,1,2,16,136
960,1,2,16,136
961,1,2,16,136
962,1,2,16,136
963,1,2,16,136
964,1,14,120,1024
965,1,2,16,136
966,1,2,16,136
967,1,2,16,136
968,1,2,16,136
969,1,2,16,136
970,1,2,16,136
971,1,2,12,100
972,1,2,12,100
973,1,14,120,1024
974,1,2,16,136
975,1,2,16,136
976,1,2,16,136
977,1,2,16,136
978,1,2,16,136
979,1,2,16,136
980,1,14,120,1024
981,1,2,16,136
982,1,2,16,136
983,1,2,16,136
984,1,2,16,136
985,1,2,16,136
986,1,2,16,136
987,1,2,12,100
988,1,2,12,100
989,1,14,120,1024
990,1,2,16,136
991,1,2,16,136
992,1,2,16,136
993,1,2,16,136
994,1,2,16,136
995,1,2,16,136
